accession	organism	gene_name	length	matches	kmer_size	score_percent	reference_start	target_start	description
XM_044717593.1	Drosophila ananassae	LOC6504504	7231	31	50	62.0	225	4095	PREDICTED: Drosophila ananassae non-canonical poly(A) RNA polymerase protein Trf4-1 (LOC6504504), transcript variant X4, mRNA
XM_032452265.2	Drosophila ananassae	LOC6504504	7149	31	50	62.0	200	7010	PREDICTED: Drosophila ananassae non-canonical poly(A) RNA polymerase protein Trf4-1 (LOC6504504), transcript variant X3, mRNA
XM_014904114.3	Drosophila ananassae	LOC6501841	3838	31	50	62.0	950	1015	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X31, mRNA
XM_032452399.2	Drosophila ananassae	LOC6501841	5590	31	50	62.0	950	1025	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X20, mRNA
XM_014904115.3	Drosophila ananassae	LOC6501841	4433	31	50	62.0	950	1010	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X18, mRNA
XM_032452397.2	Drosophila ananassae	LOC6501841	5716	31	50	62.0	950	1025	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X17, mRNA
XM_032452390.2	Drosophila ananassae	LOC6501841	6853	31	50	62.0	950	1025	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X8, mRNA
XM_032452388.2	Drosophila ananassae	LOC6501841	6916	31	50	62.0	950	1025	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X6, mRNA
XM_032452387.2	Drosophila ananassae	LOC6501841	6946	31	50	62.0	950	1025	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X5, mRNA
XM_032452386.2	Drosophila ananassae	LOC6501841	6991	31	50	62.0	950	1025	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X4, mRNA
XM_032452385.2	Drosophila ananassae	LOC6501841	6997	31	50	62.0	950	1025	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X3, mRNA
XM_032452383.2	Drosophila ananassae	LOC6501841	7072	31	50	62.0	950	1025	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X1, mRNA
XM_014904156.3	Drosophila ananassae	LOC6501887	3225	31	50	62.0	1200	1885	PREDICTED: Drosophila ananassae moesin/ezrin/radixin homolog 1 (LOC6501887), transcript variant X3, mRNA
XM_014904741.3	Drosophila ananassae	LOC6504964	6871	31	50	62.0	1175	3700	PREDICTED: Drosophila ananassae DENN domain-containing protein Crag (LOC6504964), transcript variant X2, mRNA
XM_014904760.3	Drosophila ananassae	LOC6505008	3168	31	50	62.0	200	2260	PREDICTED: Drosophila ananassae programmed cell death protein 4 (LOC6505008), transcript variant X1, mRNA
XM_014904849.3	Drosophila ananassae	LOC6505263	6507	31	50	62.0	225	5365	PREDICTED: Drosophila ananassae protein retinal degeneration B (LOC6505263), transcript variant X4, mRNA
XM_014904848.3	Drosophila ananassae	LOC6505263	6507	31	50	62.0	225	5365	PREDICTED: Drosophila ananassae protein retinal degeneration B (LOC6505263), transcript variant X3, mRNA
XM_014904757.3	Drosophila ananassae	LOC6505006	5043	31	50	62.0	50	530	PREDICTED: Drosophila ananassae uncharacterized LOC6505006 (LOC6505006), transcript variant X5, mRNA
XM_033385596.1	Drosophila pseudoobscura	LOC117185202	3160	31	50	62.0	1175	375	PREDICTED: Drosophila pseudoobscura bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66-like (LOC117185202), transcript variant X3, mRNA
XM_033385556.1	Drosophila pseudoobscura	LOC6902093	6910	31	50	62.0	75	2410	PREDICTED: Drosophila pseudoobscura polyhomeotic-proximal chromatin protein (LOC6902093), mRNA
XM_015186252.2	Drosophila pseudoobscura	spri	5302	31	50	62.0	375	2970	PREDICTED: Drosophila pseudoobscura Src homology 2 domain-containing protein sprint (spri), transcript variant X6, mRNA
XM_015186023.2	Drosophila pseudoobscura	baz	5840	31	50	62.0	1025	4105	PREDICTED: Drosophila pseudoobscura par-3 family cell polarity regulator (baz), transcript variant X1, mRNA
XM_033385464.1	Drosophila pseudoobscura	jim	6240	31	50	62.0	200	45	PREDICTED: Drosophila pseudoobscura zinc finger protein jim (jim), transcript variant X5, mRNA
XM_033385462.1	Drosophila pseudoobscura	jim	6255	31	50	62.0	200	45	PREDICTED: Drosophila pseudoobscura zinc finger protein jim (jim), transcript variant X3, mRNA
XM_002072264.4	Drosophila willistoni	LOC6649674	4071	31	50	62.0	200	3630	PREDICTED: Drosophila willistoni 3-hydroxy-3-methylglutaryl-coenzyme A reductase (LOC6649674), mRNA
XM_047009257.1	Drosophila willistoni	LOC6649506	5600	31	50	62.0	1200	2880	PREDICTED: Drosophila willistoni uncharacterized LOC6649506 (LOC6649506), transcript variant X1, mRNA
XM_002072006.4	Drosophila willistoni	LOC6649465	3676	31	50	62.0	225	3625	PREDICTED: Drosophila willistoni general transcriptional corepressor trfA (LOC6649465), transcript variant X1, mRNA
XM_002071995.4	Drosophila willistoni	LOC6649702	6427	31	50	62.0	325	760	PREDICTED: Drosophila willistoni uncharacterized LOC6649702 (LOC6649702), mRNA
XM_070206629.1	Drosophila virilis	1	6122	31	50	62.0	1200	4980	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X7, mRNA
XM_070206627.1	Drosophila virilis	1	6937	31	50	62.0	1200	4525	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X5, mRNA
XM_070206618.1	Drosophila virilis	mei-38	3573	31	50	62.0	200	1930	PREDICTED: Drosophila virilis meiotic 38 (mei-38), transcript variant X2, mRNA
XM_070206615.1	Drosophila virilis	sdt	5735	31	50	62.0	1200	80	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X6, mRNA
XM_032433229.2	Drosophila virilis	sable	5812	31	50	62.0	1200	3365	PREDICTED: Drosophila virilis suppressor of sable (su(sable)), transcript variant X2, mRNA
XM_002055365.4	Drosophila virilis	stx	7749	31	50	62.0	1200	4410	PREDICTED: Drosophila virilis ubiquitin-like domain-containing protein stuxnet (stx), mRNA
XM_002057243.3	Drosophila virilis	Upf2	4514	31	50	62.0	900	3895	PREDICTED: Drosophila virilis UPF2 regulator of nonsense mediated mRNA decay (Upf2), transcript variant X1, mRNA
XM_015171029.3	Drosophila virilis	eIF4H1	3424	31	50	62.0	375	1935	PREDICTED: Drosophila virilis eukaryotic translation initiation factor 4H1 (eIF4H1), transcript variant X1, mRNA
XM_070211366.1	Drosophila virilis	IntS6	6227	31	50	62.0	1200	5235	PREDICTED: Drosophila virilis integrator complex subunit 6 (IntS6), transcript variant X3, mRNA
XM_070211365.1	Drosophila virilis	IntS6	6231	31	50	62.0	1200	5260	PREDICTED: Drosophila virilis integrator complex subunit 6 (IntS6), transcript variant X2, mRNA
XM_032738342.2	Drosophila grimshawi	LOC6565046	3563	31	50	62.0	1200	1990	PREDICTED: Drosophila grimshawi cytosolic carboxypeptidase Nna1 (LOC6565046), transcript variant X5, mRNA
XM_043216274.1	Drosophila grimshawi	LOC6565046	3473	31	50	62.0	1200	1900	PREDICTED: Drosophila grimshawi cytosolic carboxypeptidase Nna1 (LOC6565046), transcript variant X4, mRNA
XM_032738341.2	Drosophila grimshawi	LOC6565046	3805	31	50	62.0	1200	2230	PREDICTED: Drosophila grimshawi cytosolic carboxypeptidase Nna1 (LOC6565046), transcript variant X3, mRNA
XM_032738340.2	Drosophila grimshawi	LOC6565046	3805	31	50	62.0	1200	2230	PREDICTED: Drosophila grimshawi cytosolic carboxypeptidase Nna1 (LOC6565046), transcript variant X2, mRNA
XM_043216248.1	Drosophila grimshawi	LOC6564512	3647	31	50	62.0	1200	3060	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X13, mRNA
XM_043216244.1	Drosophila grimshawi	LOC6564512	3807	31	50	62.0	1200	3220	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X7, mRNA
XM_043216242.1	Drosophila grimshawi	LOC6564512	4481	31	50	62.0	1200	3890	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X5, mRNA
XM_043216241.1	Drosophila grimshawi	LOC6564512	4526	31	50	62.0	1200	3935	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X4, mRNA
XM_043216240.1	Drosophila grimshawi	LOC6564512	4601	31	50	62.0	1200	4010	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X3, mRNA
XM_001992195.3	Drosophila grimshawi	LOC6565901	3949	31	50	62.0	900	1610	PREDICTED: Drosophila grimshawi Alstrom syndrome protein 1 homolog a (LOC6565901), mRNA
XM_032738973.2	Drosophila grimshawi	LOC6565825	3654	31	50	62.0	1200	2280	PREDICTED: Drosophila grimshawi actin cytoskeleton-regulatory complex protein pan1 (LOC6565825), transcript variant X2, mRNA
XM_001992713.3	Drosophila grimshawi	LOC6565825	3661	31	50	62.0	1200	2280	PREDICTED: Drosophila grimshawi actin cytoskeleton-regulatory complex protein pan1 (LOC6565825), transcript variant X1, mRNA
XM_002006871.4	Drosophila mojavensis	LOC6581159	3436	31	50	62.0	1100	600	PREDICTED: Drosophila mojavensis sodium-dependent serotonin transporter (LOC6581159), transcript variant X3, mRNA
XM_015164637.3	Drosophila mojavensis	LOC6581159	3741	31	50	62.0	1100	905	PREDICTED: Drosophila mojavensis sodium-dependent serotonin transporter (LOC6581159), transcript variant X2, mRNA
XM_002006394.4	Drosophila mojavensis	LOC6580604	7205	31	50	62.0	75	5690	PREDICTED: Drosophila mojavensis uncharacterized LOC6580604 (LOC6580604), transcript variant X1, mRNA
XM_044011279.1	Drosophila mojavensis	LOC6581043	3149	31	50	62.0	1200	605	PREDICTED: Drosophila mojavensis tetratricopeptide repeat protein 7B (LOC6581043), transcript variant X2, mRNA
XM_052001913.1	Drosophila albomicans	LOC117577544	6450	31	50	62.0	1200	3930	PREDICTED: Drosophila albomicans homeobox protein 2 (LOC117577544), transcript variant X1, mRNA
XM_034244177.2	Drosophila albomicans	LOC117565164	4960	31	50	62.0	200	4530	PREDICTED: Drosophila albomicans optomotor-blind protein (LOC117565164), transcript variant X4, mRNA
XM_034263662.2	Drosophila albomicans	LOC117578243	6580	31	50	62.0	75	2765	PREDICTED: Drosophila albomicans nascent polypeptide-associated complex subunit alpha, muscle-specific form (LOC117578243), mRNA
XM_034257992.2	Drosophila albomicans	LOC117574245	5357	31	50	62.0	75	580	PREDICTED: Drosophila albomicans neurogenic protein mastermind (LOC117574245), transcript variant X3, mRNA
XM_034255829.2	Drosophila albomicans	LOC117570989	5280	31	50	62.0	900	2960	PREDICTED: Drosophila albomicans histone deacetylase 4 (LOC117570989), transcript variant X4, mRNA
XM_015190361.3	Drosophila yakuba	LOC6524725	5115	31	50	62.0	200	3595	PREDICTED: Drosophila yakuba zwei Ig domain protein zig-8 (LOC6524725), transcript variant X1, mRNA
XM_002101009.4	Drosophila yakuba	LOC6525207	4583	31	50	62.0	925	1875	PREDICTED: Drosophila yakuba protein vav (LOC6525207), transcript variant X2, mRNA
XM_015191004.3	Drosophila yakuba	LOC6525760	3156	31	50	62.0	1200	715	PREDICTED: Drosophila yakuba probable G-protein coupled receptor B0563.6 (LOC6525760), transcript variant X3, mRNA
XM_034284792.1	Drosophila guanche	LOC117591498	7004	31	50	62.0	200	6890	PREDICTED: Drosophila guanche WD repeat-containing protein 7 (LOC117591498), transcript variant X1, mRNA
XM_034284656.1	Drosophila guanche	LOC117591404	6055	31	50	62.0	275	450	PREDICTED: Drosophila guanche nuclear pore complex protein Nup153 (LOC117591404), transcript variant X6, mRNA
XM_034284654.1	Drosophila guanche	LOC117591404	6394	31	50	62.0	275	450	PREDICTED: Drosophila guanche nuclear pore complex protein Nup153 (LOC117591404), transcript variant X4, mRNA
XM_030390482.1	Drosophila navojoa	LOC115565358	3718	31	50	62.0	900	620	PREDICTED: Drosophila navojoa microtubule-associated protein futsch-like (LOC115565358), mRNA
XM_030390123.1	Drosophila navojoa	LOC115565125	3351	31	50	62.0	750	1645	PREDICTED: Drosophila navojoa uncharacterized LOC115565125 (LOC115565125), mRNA
XM_030390078.1	Drosophila navojoa	LOC115565092	3055	31	50	62.0	900	1395	PREDICTED: Drosophila navojoa DNA topoisomerase 3-beta (LOC115565092), mRNA
XM_026994602.1	Drosophila persimilis	LOC6594649	7781	31	50	62.0	200	7535	PREDICTED: Drosophila persimilis putative transcription factor capicua (LOC6594649), transcript variant X6, mRNA
XM_026994601.1	Drosophila persimilis	LOC6594649	7789	31	50	62.0	375	670	PREDICTED: Drosophila persimilis putative transcription factor capicua (LOC6594649), transcript variant X5, mRNA
XM_026994600.1	Drosophila persimilis	LOC6594649	7829	31	50	62.0	375	670	PREDICTED: Drosophila persimilis putative transcription factor capicua (LOC6594649), transcript variant X4, mRNA
XM_026994566.1	Drosophila persimilis	LOC6594303	3341	31	50	62.0	1200	755	PREDICTED: Drosophila persimilis serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (LOC6594303), transcript variant X3, mRNA
XM_002019945.2	Drosophila persimilis	LOC6594258	3748	31	50	62.0	1200	2585	PREDICTED: Drosophila persimilis protein CREBRF homolog (LOC6594258), transcript variant X1, mRNA
XM_026994448.1	Drosophila persimilis	LOC6594310	4493	31	50	62.0	50	3305	PREDICTED: Drosophila persimilis single-stranded DNA-binding protein 2 (LOC6594310), mRNA
XM_026994439.1	Drosophila persimilis	LOC6594462	3421	31	50	62.0	1200	1650	PREDICTED: Drosophila persimilis protein AF-9 (LOC6594462), mRNA
XM_026993889.1	Drosophila persimilis	LOC6601047	3052	31	50	62.0	1200	1435	PREDICTED: Drosophila persimilis 3-phosphoinositide-dependent protein kinase 1 (LOC6601047), transcript variant X1, mRNA
XM_026993847.1	Drosophila persimilis	LOC6602871	5267	31	50	62.0	1000	2470	PREDICTED: Drosophila persimilis rho-associated protein kinase 1 (LOC6602871), transcript variant X3, mRNA
XM_026993845.1	Drosophila persimilis	LOC6602871	7335	31	50	62.0	1000	2470	PREDICTED: Drosophila persimilis rho-associated protein kinase 1 (LOC6602871), transcript variant X2, mRNA
XM_026993844.1	Drosophila persimilis	LOC6602871	7362	31	50	62.0	1000	2470	PREDICTED: Drosophila persimilis rho-associated protein kinase 1 (LOC6602871), transcript variant X1, mRNA
XM_026993801.1	Drosophila persimilis	LOC6601981	4588	31	50	62.0	1200	1320	PREDICTED: Drosophila persimilis IQ motif and SEC7 domain-containing protein 2 (LOC6601981), transcript variant X4, mRNA
NM_001414089.1	Drosophila melanogaster	sif	7569	30	50	60.0	200	7405	Drosophila melanogaster still life (sif), transcript variant R, mRNA
NM_001382059.1	Drosophila melanogaster	Mbs	4395	30	50	60.0	350	175	Drosophila melanogaster myosin binding subunit, transcript variant V (Mbs), mRNA
NM_001382029.1	Drosophila melanogaster	Mef2	3253	30	50	60.0	925	920	Drosophila melanogaster myocyte enhancer factor 2, transcript variant L (Mef2), mRNA
NM_001382028.1	Drosophila melanogaster	Mef2	3133	30	50	60.0	925	920	Drosophila melanogaster myocyte enhancer factor 2, transcript variant K (Mef2), mRNA
NM_001382027.1	Drosophila melanogaster	Mef2	3289	30	50	60.0	925	920	Drosophila melanogaster myocyte enhancer factor 2, transcript variant J (Mef2), mRNA
NM_001382026.1	Drosophila melanogaster	Mef2	3115	30	50	60.0	925	920	Drosophila melanogaster myocyte enhancer factor 2, transcript variant I (Mef2), mRNA
NM_001382014.1	Drosophila melanogaster	svp	3859	30	50	60.0	1200	2385	Drosophila melanogaster seven up (svp), transcript variant F, mRNA
NM_001382097.1	Drosophila melanogaster	pyd	5408	30	50	60.0	175	4955	Drosophila melanogaster polychaetoid (pyd), transcript variant P, mRNA
NM_001369979.1	Drosophila melanogaster	CG14459	5232	30	50	60.0	400	2490	Drosophila melanogaster uncharacterized protein, transcript variant G (CG14459), mRNA
XM_039298159.2	Drosophila simulans	LOC6740388	4732	30	50	60.0	200	50	PREDICTED: Drosophila simulans poly(A) RNA polymerase gld-2 homolog B (LOC6740388), transcript variant X1, mRNA
XM_039297324.2	Drosophila simulans	LOC6725561	5491	30	50	60.0	75	2995	PREDICTED: Drosophila simulans tyrosine-protein phosphatase non-receptor type 9 (LOC6725561), transcript variant X4, mRNA
XM_039298108.2	Drosophila simulans	LOC6725959	5113	30	50	60.0	1200	4955	PREDICTED: Drosophila simulans Ca(2+)/calmodulin-responsive adenylate cyclase (LOC6725959), transcript variant X14, mRNA
XM_039297743.2	Drosophila simulans	LOC6740215	7977	30	50	60.0	700	3990	PREDICTED: Drosophila simulans mucin-19 (LOC6740215), transcript variant X2, mRNA
XM_016180853.3	Drosophila simulans	LOC6740037	3560	30	50	60.0	200	3165	PREDICTED: Drosophila simulans transmembrane protein fend (LOC6740037), mRNA
XM_039296644.2	Drosophila simulans	LOC6725841	4424	30	50	60.0	1200	3975	PREDICTED: Drosophila simulans integrin alpha-PS1 (LOC6725841), transcript variant X1, mRNA
XM_016173961.3	Drosophila simulans	LOC6726069	5269	30	50	60.0	1175	585	PREDICTED: Drosophila simulans phospholipid-transporting ATPase ABCA3 (LOC6726069), transcript variant X1, mRNA
XM_016180833.3	Drosophila simulans	LOC6740063	6578	30	50	60.0	1200	1610	PREDICTED: Drosophila simulans protein sprint (LOC6740063), transcript variant X2, mRNA
XM_016180834.3	Drosophila simulans	LOC6740063	7078	30	50	60.0	1200	2110	PREDICTED: Drosophila simulans protein sprint (LOC6740063), transcript variant X1, mRNA
XM_016172741.3	Drosophila simulans	LOC6725659	6560	30	50	60.0	200	6465	PREDICTED: Drosophila simulans Kv channel-interacting protein 4 (LOC6725659), transcript variant X3, mRNA
XM_039297979.2	Drosophila simulans	LOC6725867	7630	30	50	60.0	900	6555	PREDICTED: Drosophila simulans probable histone-lysine N-methyltransferase CG1716 (LOC6725867), mRNA
XM_032726850.1	Drosophila sechellia	LOC6620464	6248	30	50	60.0	375	5930	PREDICTED: Drosophila sechellia palmitoyltransferase app (LOC6620464), transcript variant X4, mRNA
