accession	organism	gene_name	length	matches	comparison_length	score_percent	description
XM_016182572.3	Drosophila simulans	LOC27206763	3864	866	3070	28.2085	PREDICTED: Drosophila simulans fasciculation and elongation protein zeta-2 (LOC27206763), mRNA
XM_032726630.1	Drosophila sechellia	LOC6620185	4181	866	3070	28.2085	PREDICTED: Drosophila sechellia mitogen-activated protein kinase kinase kinase (LOC6620185), transcript variant X3, mRNA
XM_001965602.4	Drosophila ananassae	LOC6505009	3688	866	3070	28.2085	PREDICTED: Drosophila ananassae gamma-tubulin complex component 3 (LOC6505009), mRNA
XM_026994575.1	Drosophila persimilis	LOC6594228	5143	866	3070	28.2085	PREDICTED: Drosophila persimilis chromatin-remodeling ATPase INO80 (LOC6594228), mRNA
XM_015169550.3	Drosophila virilis	kek5	6978	865	3070	28.1759	PREDICTED: Drosophila virilis kekkon 5 (kek5), transcript variant X3, mRNA
XM_030390528.1	Drosophila navojoa	LOC115565389	3341	865	3070	28.1759	PREDICTED: Drosophila navojoa voltage-dependent T-type calcium channel subunit alpha-1G-like (LOC115565389), transcript variant X1, mRNA
XM_014904123.3	Drosophila ananassae	LOC6501841	5807	862	3070	28.0782	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X28, mRNA
XM_002099662.4	Drosophila yakuba	LOC6523823	5661	862	3070	28.0782	PREDICTED: Drosophila yakuba protein suppressor of sable (LOC6523823), transcript variant X2, mRNA
XM_039298048.2	Drosophila simulans	LOC6726482	7913	861	3070	28.0456	PREDICTED: Drosophila simulans trithorax group protein osa (LOC6726482), transcript variant X2, mRNA
XM_039298047.2	Drosophila simulans	LOC6726482	7053	861	3070	28.0456	PREDICTED: Drosophila simulans trithorax group protein osa (LOC6726482), transcript variant X1, mRNA
XM_032726834.1	Drosophila sechellia	LOC6617528	5786	861	3070	28.0456	PREDICTED: Drosophila sechellia ral GTPase-activating protein subunit beta (LOC6617528), transcript variant X6, mRNA
XM_026994093.1	Drosophila persimilis	LOC6596898	3123	861	3070	28.0456	PREDICTED: Drosophila persimilis zinc finger protein 677 (LOC6596898), mRNA
XM_014904120.3	Drosophila ananassae	LOC6501841	5882	860	3070	28.013	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X26, mRNA
XM_032440772.2	Drosophila virilis	raskol	5816	860	3070	28.013	PREDICTED: Drosophila virilis Ras GTPase-activating protein raskol (raskol), transcript variant X11, mRNA
XM_034255690.2	Drosophila albomicans	LOC117572669	3172	860	3070	28.013	PREDICTED: Drosophila albomicans serine/threonine-protein phosphatase 2B catalytic subunit 3 (LOC117572669), mRNA
XM_030390173.1	Drosophila navojoa	LOC115565165	3402	860	3070	28.013	PREDICTED: Drosophila navojoa leucine-rich PPR motif-containing protein, mitochondrial (LOC115565165), transcript variant X2, mRNA
XM_026994152.1	Drosophila persimilis	LOC6601250	3742	860	3070	28.013	PREDICTED: Drosophila persimilis adenylyl cyclase X E (LOC6601250), transcript variant X1, mRNA
XM_001966786.4	Drosophila ananassae	LOC6501841	5927	859	3070	27.9805	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X24, mRNA
XM_034263132.2	Drosophila albomicans	LOC117578028	5610	859	3070	27.9805	PREDICTED: Drosophila albomicans non-canonical poly(A) RNA polymerase protein Trf4-1 (LOC117578028), transcript variant X4, mRNA
XM_020961140.1	Drosophila serrata	LOC110190566	3536	859	3070	27.9805	PREDICTED: Drosophila serrata 85/88 kDa calcium-independent phospholipase A2 (LOC110190566), transcript variant X2, mRNA
XM_030390172.1	Drosophila navojoa	LOC115565165	3401	859	3070	27.9805	PREDICTED: Drosophila navojoa leucine-rich PPR motif-containing protein, mitochondrial (LOC115565165), transcript variant X1, mRNA
XM_026994069.1	Drosophila persimilis	LOC6603302	3061	856	3061	27.9647	PREDICTED: Drosophila persimilis transcription factor mef2A (LOC6603302), transcript variant X3, mRNA
XM_032452404.2	Drosophila ananassae	LOC6501841	5426	858	3070	27.9479	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X30, mRNA
XM_032433229.2	Drosophila virilis	sable	5812	858	3070	27.9479	PREDICTED: Drosophila virilis suppressor of sable (su(sable)), transcript variant X2, mRNA
XM_020961026.1	Drosophila serrata	LOC110190505	4272	858	3070	27.9479	PREDICTED: Drosophila serrata SCY1-like protein 2 (LOC110190505), transcript variant X4, mRNA
XM_032730736.2	Drosophila mojavensis	LOC6581135	7250	857	3070	27.9153	PREDICTED: Drosophila mojavensis uncharacterized LOC6581135 (LOC6581135), transcript variant X1, mRNA
XM_052001913.1	Drosophila albomicans	LOC117577544	6450	857	3070	27.9153	PREDICTED: Drosophila albomicans homeobox protein 2 (LOC117577544), transcript variant X1, mRNA
XM_016182727.3	Drosophila simulans	LOC27206956	3689	856	3070	27.8827	PREDICTED: Drosophila simulans type II inositol 1,4,5-trisphosphate 5-phosphatase (LOC27206956), mRNA
XM_015190661.3	Drosophila yakuba	LOC6525187	3116	856	3070	27.8827	PREDICTED: Drosophila yakuba 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (LOC6525187), transcript variant X4, mRNA
XM_032726843.1	Drosophila sechellia	LOC6617528	5027	855	3070	27.8502	PREDICTED: Drosophila sechellia ral GTPase-activating protein subunit beta (LOC6617528), transcript variant X15, mRNA
XM_032726722.1	Drosophila sechellia	LOC6616227	5302	855	3070	27.8502	PREDICTED: Drosophila sechellia cAMP-specific 3',5'-cyclic phosphodiesterase (LOC6616227), transcript variant X9, mRNA
XM_032451913.2	Drosophila ananassae	LOC6505263	6350	855	3070	27.8502	PREDICTED: Drosophila ananassae protein retinal degeneration B (LOC6505263), transcript variant X2, mRNA
XM_033385463.1	Drosophila pseudoobscura	jim	6242	855	3070	27.8502	PREDICTED: Drosophila pseudoobscura zinc finger protein jim (jim), transcript variant X4, mRNA
XM_032439575.2	Drosophila virilis	sdt	5993	855	3070	27.8502	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X2, mRNA
XM_044011310.1	Drosophila mojavensis	LOC6580858	5795	855	3070	27.8502	PREDICTED: Drosophila mojavensis neurogenic protein mastermind (LOC6580858), transcript variant X2, mRNA
XM_034263374.2	Drosophila albomicans	LOC117578154	3451	855	3070	27.8502	PREDICTED: Drosophila albomicans protein ROP (LOC117578154), transcript variant X2, mRNA
XM_026993801.1	Drosophila persimilis	LOC6601981	4588	855	3070	27.8502	PREDICTED: Drosophila persimilis IQ motif and SEC7 domain-containing protein 2 (LOC6601981), transcript variant X4, mRNA
XM_032452392.2	Drosophila ananassae	LOC6501841	6533	854	3070	27.8176	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X10, mRNA
XM_032452391.2	Drosophila ananassae	LOC6501841	6608	854	3070	27.8176	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X9, mRNA
XM_034262647.2	Drosophila albomicans	LOC117577738	4475	854	3070	27.8176	PREDICTED: Drosophila albomicans protein bric-a-brac 1 (LOC117577738), transcript variant X2, mRNA
XM_018098176.2	Drosophila navojoa	LOC108649162	3055	849	3055	27.7905	PREDICTED: Drosophila navojoa uncharacterized LOC108649162 (LOC108649162), mRNA
XM_016172357.3	Drosophila simulans	LOC6726455	3210	853	3070	27.785	PREDICTED: Drosophila simulans gamma-tubulin complex component 2 homolog (LOC6726455), transcript variant X2, mRNA
XM_014904105.3	Drosophila ananassae	LOC6501836	3101	853	3070	27.785	PREDICTED: Drosophila ananassae AMP deaminase 2 (LOC6501836), transcript variant X3, mRNA
XM_034284805.1	Drosophila guanche	LOC117591512	3077	853	3070	27.785	PREDICTED: Drosophila guanche N-alpha-acetyltransferase 16, NatA auxiliary subunit (LOC117591512), mRNA
NM_001274673.2	Drosophila melanogaster	TrpA1	4462	852	3070	27.7524	Drosophila melanogaster transient receptor potential cation channel A1, transcript variant K (TrpA1), mRNA
NM_001382035.1	Drosophila melanogaster	Hipk	6104	852	3070	27.7524	Drosophila melanogaster homeodomain interacting protein kinase, transcript variant D (Hipk), mRNA
XM_001355215.4	Drosophila pseudoobscura	Cdc7	3177	852	3070	27.7524	PREDICTED: Drosophila pseudoobscura Cdc7 kinase (Cdc7), transcript variant X2, mRNA
XM_032737831.2	Drosophila grimshawi	LOC6565215	4264	852	3070	27.7524	PREDICTED: Drosophila grimshawi rho-associated protein kinase 2 (LOC6565215), transcript variant X3, mRNA
XM_044011344.1	Drosophila mojavensis	LOC6581186	7436	852	3070	27.7524	PREDICTED: Drosophila mojavensis uncharacterized LOC6581186 (LOC6581186), transcript variant X6, mRNA
XM_034248616.2	Drosophila albomicans	LOC117568172	4118	852	3070	27.7524	PREDICTED: Drosophila albomicans extracellular signal-regulated kinase 7 (LOC117568172), transcript variant X1, mRNA
XM_034263373.2	Drosophila albomicans	LOC117578154	3457	852	3070	27.7524	PREDICTED: Drosophila albomicans protein ROP (LOC117578154), transcript variant X1, mRNA
XM_020961318.1	Drosophila serrata	LOC110190704	5071	851	3070	27.7199	PREDICTED: Drosophila serrata translational regulator orb2 (LOC110190704), transcript variant X3, mRNA
XM_020961027.1	Drosophila serrata	LOC110190505	4203	851	3070	27.7199	PREDICTED: Drosophila serrata SCY1-like protein 2 (LOC110190505), transcript variant X5, mRNA
XM_026994555.1	Drosophila persimilis	LOC6594087	3709	851	3070	27.7199	PREDICTED: Drosophila persimilis putative mediator of RNA polymerase II transcription subunit 12 (LOC6594087), transcript variant X3, mRNA
XM_002028225.2	Drosophila persimilis	LOC6603285	3923	851	3070	27.7199	PREDICTED: Drosophila persimilis monocarboxylate transporter 1 (LOC6603285), mRNA
XM_015170189.3	Drosophila virilis	Klp10A	3498	850	3070	27.6873	PREDICTED: Drosophila virilis kinesin-like protein 10A (Klp10A), transcript variant X2, mRNA
XM_026994068.1	Drosophila persimilis	LOC6603302	3160	850	3070	27.6873	PREDICTED: Drosophila persimilis transcription factor mef2A (LOC6603302), transcript variant X1, mRNA
XM_026993827.1	Drosophila persimilis	LOC6604116	3142	850	3070	27.6873	PREDICTED: Drosophila persimilis nascent polypeptide-associated complex subunit alpha, muscle-specific form (LOC6604116), transcript variant X2, mRNA
XM_039296752.2	Drosophila simulans	LOC27208700	3171	849	3070	27.6547	PREDICTED: Drosophila simulans alpha-actinin, sarcomeric (LOC27208700), transcript variant X3, mRNA
XM_032726874.1	Drosophila sechellia	LOC6619554	4770	849	3070	27.6547	PREDICTED: Drosophila sechellia Ca(2+)/calmodulin-responsive adenylate cyclase (LOC6619554), transcript variant X16, mRNA
XM_032726872.1	Drosophila sechellia	LOC6619554	5118	849	3070	27.6547	PREDICTED: Drosophila sechellia Ca(2+)/calmodulin-responsive adenylate cyclase (LOC6619554), transcript variant X14, mRNA
XM_032433236.2	Drosophila virilis	Mybbp1A	3738	849	3070	27.6547	PREDICTED: Drosophila virilis MYB binding protein 1a (Mybbp1A), mRNA
XM_034252224.2	Drosophila albomicans	LOC117570514	4372	849	3070	27.6547	PREDICTED: Drosophila albomicans basic proline-rich protein (LOC117570514), transcript variant X2, mRNA
XM_034284725.1	Drosophila guanche	LOC117591455	3635	849	3070	27.6547	PREDICTED: Drosophila guanche uncharacterized LOC117591455 (LOC117591455), transcript variant X2, mRNA
XM_026994439.1	Drosophila persimilis	LOC6594462	3421	849	3070	27.6547	PREDICTED: Drosophila persimilis protein AF-9 (LOC6594462), mRNA
NM_001382022.1	Drosophila melanogaster	HGTX	3014	833	3014	27.6377	Drosophila melanogaster HGTX, transcript variant C (HGTX), mRNA
XM_016173823.3	Drosophila simulans	LOC6725845	3129	848	3070	27.6221	PREDICTED: Drosophila simulans vesicle-fusing ATPase 1 (LOC6725845), mRNA
XM_032726840.1	Drosophila sechellia	LOC6617528	5219	848	3070	27.6221	PREDICTED: Drosophila sechellia ral GTPase-activating protein subunit beta (LOC6617528), transcript variant X12, mRNA
XM_014904187.3	Drosophila ananassae	LOC6501941	4162	848	3070	27.6221	PREDICTED: Drosophila ananassae zinc finger CCCH domain-containing protein 13 (LOC6501941), transcript variant X2, mRNA
XM_002055578.4	Drosophila virilis	LOC6631989	3626	848	3070	27.6221	PREDICTED: Drosophila virilis uncharacterized protein (LOC6631989), mRNA
XM_026993915.1	Drosophila persimilis	LOC6601023	3479	848	3070	27.6221	PREDICTED: Drosophila persimilis myosin-IB (LOC6601023), transcript variant X3, mRNA
XM_032738439.2	Drosophila grimshawi	LOC6565297	4931	847	3070	27.5896	PREDICTED: Drosophila grimshawi eye-specific diacylglycerol kinase (LOC6565297), transcript variant X4, mRNA
XM_002100470.4	Drosophila yakuba	LOC6524649	3224	847	3070	27.5896	PREDICTED: Drosophila yakuba AP-3 complex subunit delta (LOC6524649), transcript variant X1, mRNA
XM_039370223.2	Drosophila yakuba	LOC6524124	3175	847	3070	27.5896	PREDICTED: Drosophila yakuba RNA-binding protein 25 (LOC6524124), transcript variant X3, mRNA
XM_002101967.4	Drosophila yakuba	LOC6526194	3204	847	3070	27.5896	PREDICTED: Drosophila yakuba neutral alpha-glucosidase AB (LOC6526194), transcript variant X2, mRNA
XM_002028247.2	Drosophila persimilis	LOC6603302	3157	847	3070	27.5896	PREDICTED: Drosophila persimilis transcription factor mef2A (LOC6603302), transcript variant X2, mRNA
XM_002026127.2	Drosophila persimilis	LOC6601008	3732	847	3070	27.5896	PREDICTED: Drosophila persimilis ribosome biogenesis protein BMS1 homolog (LOC6601008), mRNA
XM_032452270.2	Drosophila ananassae	LOC6504504	6697	846	3070	27.557	PREDICTED: Drosophila ananassae non-canonical poly(A) RNA polymerase protein Trf4-1 (LOC6504504), transcript variant X9, mRNA
XM_032439586.2	Drosophila virilis	sdt	4436	846	3070	27.557	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X14, mRNA
XM_032738453.2	Drosophila grimshawi	LOC6564512	3637	846	3070	27.557	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X18, mRNA
XM_020960928.1	Drosophila serrata	LOC110190440	5540	846	3070	27.557	PREDICTED: Drosophila serrata serine-rich adhesin for platelets (LOC110190440), transcript variant X3, mRNA
XM_020960927.1	Drosophila serrata	LOC110190440	5552	846	3070	27.557	PREDICTED: Drosophila serrata serine-rich adhesin for platelets (LOC110190440), transcript variant X2, mRNA
XM_020960926.1	Drosophila serrata	LOC110190440	5555	846	3070	27.557	PREDICTED: Drosophila serrata serine-rich adhesin for platelets (LOC110190440), transcript variant X1, mRNA
XM_017300127.2	Drosophila miranda	LOC108164433	4444	845	3070	27.5244	PREDICTED: Drosophila miranda microphthalmia-associated transcription factor (LOC108164433), transcript variant X1, mRNA
XM_026994513.1	Drosophila persimilis	LOC6594414	4510	845	3070	27.5244	PREDICTED: Drosophila persimilis uncharacterized LOC6594414 (LOC6594414), mRNA
NM_001274672.2	Drosophila melanogaster	TrpA1	4570	844	3070	27.4919	Drosophila melanogaster transient receptor potential cation channel A1, transcript variant H (TrpA1), mRNA
XM_016173126.3	Drosophila simulans	LOC6724897	3150	844	3070	27.4919	PREDICTED: Drosophila simulans armadillo segment polarity protein (LOC6724897), transcript variant X1, mRNA
XM_032726815.1	Drosophila sechellia	LOC6617989	5410	844	3070	27.4919	PREDICTED: Drosophila sechellia integrin alpha-PS2 (LOC6617989), transcript variant X1, mRNA
XM_032726667.1	Drosophila sechellia	LOC6615224	6486	844	3070	27.4919	PREDICTED: Drosophila sechellia protein tweety (LOC6615224), transcript variant X2, mRNA
XM_015186252.2	Drosophila pseudoobscura	spri	5302	844	3070	27.4919	PREDICTED: Drosophila pseudoobscura Src homology 2 domain-containing protein sprint (spri), transcript variant X6, mRNA
XM_070206628.1	Drosophila virilis	1	6520	844	3070	27.4919	PREDICTED: Drosophila virilis inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (l(1)G0196), transcript variant X6, mRNA
XM_033394410.1	Drosophila miranda	LOC108164421	5380	844	3070	27.4919	PREDICTED: Drosophila miranda ankyrin-3 (LOC108164421), transcript variant X1, mRNA
XM_044011317.1	Drosophila mojavensis	LOC6580863	3987	844	3070	27.4919	PREDICTED: Drosophila mojavensis ATP-dependent RNA helicase DHX8 (LOC6580863), transcript variant X3, mRNA
XM_034284203.1	Drosophila guanche	LOC117591101	3115	844	3070	27.4919	PREDICTED: Drosophila guanche cardioacceleratory peptide receptor (LOC117591101), mRNA
XM_002072234.4	Drosophila willistoni	LOC6649829	3033	833	3033	27.4646	PREDICTED: Drosophila willistoni G protein-coupled receptor kinase 2 (LOC6649829), mRNA
NM_001382203.1	Drosophila melanogaster	CG9467	3180	843	3070	27.4593	Drosophila melanogaster uncharacterized protein, transcript variant C (CG9467), mRNA
NM_001382202.1	Drosophila melanogaster	CG9467	3180	843	3070	27.4593	Drosophila melanogaster uncharacterized protein, transcript variant B (CG9467), mRNA
XM_032726841.1	Drosophila sechellia	LOC6617528	5111	843	3070	27.4593	PREDICTED: Drosophila sechellia ral GTPase-activating protein subunit beta (LOC6617528), transcript variant X13, mRNA
XM_020961115.1	Drosophila serrata	LOC110190558	3907	843	3070	27.4593	PREDICTED: Drosophila serrata capon-like protein (LOC110190558), transcript variant X2, mRNA
XM_030390141.1	Drosophila navojoa	LOC115565137	5278	843	3070	27.4593	PREDICTED: Drosophila navojoa AF4/FMR2 family member 4-like (LOC115565137), mRNA
XM_070206615.1	Drosophila virilis	sdt	5735	842	3070	27.4267	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X6, mRNA
XM_001991695.3	Drosophila grimshawi	LOC6565489	4579	842	3070	27.4267	PREDICTED: Drosophila grimshawi ubiquitin carboxyl-terminal hydrolase 7 (LOC6565489), mRNA
XM_002006390.4	Drosophila mojavensis	LOC6580597	3388	842	3070	27.4267	PREDICTED: Drosophila mojavensis facilitated trehalose transporter Tret1 (LOC6580597), transcript variant X1, mRNA
XM_020961024.1	Drosophila serrata	LOC110190505	3031	831	3031	27.4167	PREDICTED: Drosophila serrata SCY1-like protein 2 (LOC110190505), transcript variant X2, mRNA
NM_001414089.1	Drosophila melanogaster	sif	7569	841	3070	27.3941	Drosophila melanogaster still life (sif), transcript variant R, mRNA
NM_001274671.2	Drosophila melanogaster	TrpA1	4573	841	3070	27.3941	Drosophila melanogaster transient receptor potential cation channel A1, transcript variant G (TrpA1), mRNA
NM_001382044.1	Drosophila melanogaster	CAP	5858	841	3070	27.3941	Drosophila melanogaster CAP, transcript variant AD (CAP), mRNA
XM_032452275.2	Drosophila ananassae	LOC6498747	3599	841	3070	27.3941	PREDICTED: Drosophila ananassae histone-lysine N-methyltransferase 2D (LOC6498747), transcript variant X1, mRNA
XM_001991629.3	Drosophila grimshawi	LOC6565045	3257	841	3070	27.3941	PREDICTED: Drosophila grimshawi glutamine-dependent NAD(+) synthetase (LOC6565045), transcript variant X1, mRNA
XM_044011366.1	Drosophila mojavensis	LOC6581082	3979	841	3070	27.3941	PREDICTED: Drosophila mojavensis ecdysone receptor (LOC6581082), transcript variant X4, mRNA
XM_032726820.1	Drosophila sechellia	LOC6618112	5334	840	3070	27.3616	PREDICTED: Drosophila sechellia probable Ras GTPase-activating protein (LOC6618112), transcript variant X3, mRNA
XM_032726817.1	Drosophila sechellia	LOC6617989	5335	840	3070	27.3616	PREDICTED: Drosophila sechellia integrin alpha-PS2 (LOC6617989), transcript variant X3, mRNA
XM_032726797.1	Drosophila sechellia	LOC6621070	7029	840	3070	27.3616	PREDICTED: Drosophila sechellia AF4/FMR2 family member 4 (LOC6621070), transcript variant X3, mRNA
XM_002040208.2	Drosophila sechellia	LOC6615874	3528	840	3070	27.3616	PREDICTED: Drosophila sechellia homeobox protein vnd (LOC6615874), transcript variant X1, mRNA
XM_033385437.1	Drosophila pseudoobscura	Rdl	6470	840	3070	27.3616	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X3, mRNA
XM_002006626.4	Drosophila mojavensis	LOC6580863	4029	840	3070	27.3616	PREDICTED: Drosophila mojavensis ATP-dependent RNA helicase DHX8 (LOC6580863), transcript variant X1, mRNA
XM_002101513.4	Drosophila yakuba	LOC6525727	5671	840	3070	27.3616	PREDICTED: Drosophila yakuba serine/threonine-protein kinase minibrain (LOC6525727), transcript variant X2, mRNA
XM_026994472.1	Drosophila persimilis	LOC6594251	5384	840	3070	27.3616	PREDICTED: Drosophila persimilis regulating synaptic membrane exocytosis protein 2 (LOC6594251), transcript variant X4, mRNA
XM_026994471.1	Drosophila persimilis	LOC6594251	5409	840	3070	27.3616	PREDICTED: Drosophila persimilis regulating synaptic membrane exocytosis protein 2 (LOC6594251), transcript variant X3, mRNA
XM_039297324.2	Drosophila simulans	LOC6725561	5491	839	3070	27.329	PREDICTED: Drosophila simulans tyrosine-protein phosphatase non-receptor type 9 (LOC6725561), transcript variant X4, mRNA
XM_032738434.2	Drosophila grimshawi	LOC6564887	3986	839	3070	27.329	PREDICTED: Drosophila grimshawi AF4/FMR2 family member lilli (LOC6564887), mRNA
XM_002006350.4	Drosophila mojavensis	LOC6580557	3851	839	3070	27.329	PREDICTED: Drosophila mojavensis structural maintenance of chromosomes protein 2 (LOC6580557), mRNA
XM_034263122.2	Drosophila albomicans	LOC117578023	3942	839	3070	27.329	PREDICTED: Drosophila albomicans uncharacterized LOC117578023 (LOC117578023), mRNA
XM_002026122.2	Drosophila persimilis	LOC6601003	6621	839	3070	27.329	PREDICTED: Drosophila persimilis glutamate synthase [NADH], amyloplastic (LOC6601003), transcript variant X2, mRNA
XM_016172660.3	Drosophila simulans	LOC6725750	4557	838	3070	27.2964	PREDICTED: Drosophila simulans ubiquitin carboxyl-terminal hydrolase 7 (LOC6725750), transcript variant X2, mRNA
XM_032452389.2	Drosophila ananassae	LOC6501841	6872	838	3070	27.2964	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X7, mRNA
XM_001352675.4	Drosophila pseudoobscura	S6k	4083	838	3070	27.2964	PREDICTED: Drosophila pseudoobscura Ribosomal protein S6 kinase (S6k), mRNA
XM_033385583.1	Drosophila pseudoobscura	CHES-1-like	6434	838	3070	27.2964	PREDICTED: Drosophila pseudoobscura Checkpoint suppressor 1-like (CHES-1-like), transcript variant X3, mRNA
XM_015188647.2	Drosophila pseudoobscura	TrpA1	4757	838	3070	27.2964	PREDICTED: Drosophila pseudoobscura Transient receptor potential cation channel A1 (TrpA1), transcript variant X6, mRNA
XM_033385461.1	Drosophila pseudoobscura	jim	6323	838	3070	27.2964	PREDICTED: Drosophila pseudoobscura zinc finger protein jim (jim), transcript variant X2, mRNA
XM_033385460.1	Drosophila pseudoobscura	jim	6338	838	3070	27.2964	PREDICTED: Drosophila pseudoobscura zinc finger protein jim (jim), transcript variant X1, mRNA
XM_070206654.1	Drosophila virilis	kek5	7365	838	3070	27.2964	PREDICTED: Drosophila virilis kekkon 5 (kek5), transcript variant X2, mRNA
XM_034263766.2	Drosophila albomicans	LOC117578313	3752	838	3070	27.2964	PREDICTED: Drosophila albomicans probable ATP-dependent RNA helicase DHX34 (LOC117578313), transcript variant X1, mRNA
XM_026983653.1	Drosophila erecta	LOC6548790	4096	838	3070	27.2964	PREDICTED: Drosophila erecta adenylate cyclase type 3 (LOC6548790), transcript variant X4, mRNA
